product_id,title,vendor,price,image_path
101,,,,D:\ai_warehouse\raw_images\shopify_store\unknown_brand\nan_nan_rs_nan.jpg
102,Allen Key Spanner 10mm Long – High-Strength Hex Key for Industrial & DIY Use,Generic,267.0,D:\ai_warehouse\raw_images\shopify_store\generic\allen_key_spanner_10mm_long_high_strength_hex_key_for_industrial_diy_use_hex_key_l_key_rs_267.0.jpg
103,Eastman Internal Circlip Plier – High Precision Snap Ring Plier for Professional Use,Eastman,199.0,D:\ai_warehouse\raw_images\shopify_store\eastman\eastman_internal_circlip_plier_high_precision_snap_ring_plier_for_professional_use_internal_circlip_plier_rs_199.0.jpg
104,,,,D:\ai_warehouse\raw_images\shopify_store\unknown_brand\nan_nan_rs_nan.jpg
105,,,,D:\ai_warehouse\raw_images\shopify_store\unknown_brand\nan_nan_rs_nan.jpg
106,,,,D:\ai_warehouse\raw_images\shopify_store\unknown_brand\nan_nan_rs_nan.jpg
107,Allen Key Bolt 8x40 mm – M8 High Tensile Hex Socket Head Cap Screw | Industrial Fastener,Generic,7.1,D:\ai_warehouse\raw_images\shopify_store\generic\allen_key_bolt_8x40_mm_m8_high_tensile_hex_socket_head_cap_screw_industrial_fastener_m8_x_40_mm_rs_7.1.jpg
108,Allen Key Bolt 8x35 mm – Heavy Duty M8 Hex Socket Cap Screw for Engineering,Generic,6.44,D:\ai_warehouse\raw_images\shopify_store\generic\allen_key_bolt_8x35_mm_heavy_duty_m8_hex_socket_cap_screw_for_engineering_m8_x_35_mm_rs_6.44.jpg
109,Allen Key Bolt 8x20 mm – M8 Hex Socket Head Cap Screw | High Tensile Bolt,Generic,5.06,D:\ai_warehouse\raw_images\shopify_store\generic\allen_key_bolt_8x20_mm_m8_hex_socket_head_cap_screw_high_tensile_bolt_m8_x_20_mm_rs_5.06.jpg
110,Allen Key Bolt 6x35 mm Full Thread – M6 Fully Threaded Hex Socket Head Cap Screw,Generic,3.74,D:\ai_warehouse\raw_images\shopify_store\generic\allen_key_bolt_6x35_mm_full_thread_m6_fully_threaded_hex_socket_head_cap_screw_m6_x_35_mm_rs_3.74.jpg
111,Allen Key Bolt 6x30 mm – M6 High Tensile Hex Socket Cap Screw | Machinery Grade,Generic,3.25,D:\ai_warehouse\raw_images\shopify_store\generic\allen_key_bolt_6x30_mm_m6_high_tensile_hex_socket_cap_screw_machinery_grade_m6_x_30_mm_rs_3.25.jpg
112,Allen Key Bolt 6x20 mm – High Quality M6 Hex Socket Head Screw for Industrial Use,Generic,2.53,D:\ai_warehouse\raw_images\shopify_store\generic\allen_key_bolt_6x20_mm_high_quality_m6_hex_socket_head_screw_for_industrial_use_m6_x_20_mm_rs_2.53.jpg
113,Allen Key Bolt 6x16 mm – M6 Hex Socket Head Cap Screw | Precision Fastener,Generic,2.42,D:\ai_warehouse\raw_images\shopify_store\generic\allen_key_bolt_6x16_mm_m6_hex_socket_head_cap_screw_precision_fastener_m6_x_16_mm_rs_2.42.jpg
114,Allen Key Bolt 14x90 mm – High Tensile M14 Hex Socket Head Bolt for Machinery,Generic,46.75,D:\ai_warehouse\raw_images\shopify_store\generic\allen_key_bolt_14x90_mm_high_tensile_m14_hex_socket_head_bolt_for_machinery_m14_x_90_mm_rs_46.75.jpg
115,Allen Key Bolt 12x90 mm – High Strength M12 Hex Socket Cap Screw | Industrial Fastener,Generic,31.35,D:\ai_warehouse\raw_images\shopify_store\generic\allen_key_bolt_12x90_mm_high_strength_m12_hex_socket_cap_screw_industrial_fastener_m12_x_90_mm_rs_31.35.jpg
116,Allen Key Bolt 12x70 mm – Heavy Duty High Tensile Hex Socket Head Cap Screw (M12),Generic,24.75,D:\ai_warehouse\raw_images\shopify_store\generic\allen_key_bolt_12x70_mm_heavy_duty_high_tensile_hex_socket_head_cap_screw_m12_m12_x_70_mm_rs_24.75.jpg
117,Allen Key Bolt 10x60 mm – High Tensile Hex Socket Head Cap Screw (M10),Generic,15.95,D:\ai_warehouse\raw_images\shopify_store\generic\allen_key_bolt_10x60_mm_high_tensile_hex_socket_head_cap_screw_m10_m10_x_60_mm_rs_15.95.jpg
118,XLNT XTHPW0638 High Pressure Washer – Heavy-Duty Cleaning Machine for Home & Industrial Use,XLNT,8699.0,D:\ai_warehouse\raw_images\shopify_store\xlnt\xlnt_xthpw0638_high_pressure_washer_heavy_duty_cleaning_machine_for_home_industrial_use_xlnt_xthpw0638_rs_8699.0.jpg
119,King Tony 6mm Extra Long Ball End Allen Key | Industrial Grade Hex Key,King Tony,135.0,D:\ai_warehouse\raw_images\shopify_store\king_tony\king_tony_6mm_extra_long_ball_end_allen_key_industrial_grade_hex_key_extra_long_ball_end_allen_key_rs_135.0.jpg
121,King Tony 4mm Extra Long Allen Key | High-Strength Hex Key for Precision Work,King Tony,87.0,D:\ai_warehouse\raw_images\shopify_store\king_tony\king_tony_4mm_extra_long_allen_key_high_strength_hex_key_for_precision_work_extra_long_allen_key_rs_87.0.jpg
124,SKF 6206 ZZ Deep Groove Ball Bearing 30 × 62 × 16 mm – High-Quality Industrial Bearing,SKF,506.0,D:\ai_warehouse\raw_images\shopify_store\skf\skf_6206_zz_deep_groove_ball_bearing_30_62_16_mm_high_quality_industrial_bearing_30_mm_rs_506.0.jpg
125,SKF 6208 ZZ Deep Groove Ball Bearing 40 × 80 × 18mm – High-Quality Industrial Bearing,SKF,611.0,D:\ai_warehouse\raw_images\shopify_store\skf\skf_6208_zz_deep_groove_ball_bearing_40_80_18mm_high_quality_industrial_bearing_40_mm_rs_611.0.jpg
127,Btali BT-1090 HPW High Pressure Washer – 100% Copper Motor _ 2300W _ Compact Car Washer,BTALI,5775.0,D:\ai_warehouse\raw_images\shopify_store\btali\btali_bt_1090_hpw_high_pressure_washer_100_copper_motor_2300w_compact_car_washer_bt_1090_hpw_rs_5775.0.jpg
128,Loctite 587 Blue RTV Silicone Gasket Maker 95 g – High-Performance Oil-Resistant Sealant,Generic,702.0,D:\ai_warehouse\raw_images\shopify_store\generic\loctite_587_blue_rtv_silicone_gasket_maker_95_g_high_performance_oil_resistant_sealant_rtv_silicone_gasket_maker_rs_702.0.jpg
129,Loctite 587 Blue RTV Silicone Gasket Maker 300 ml – High-Performance Oil-Resistant Sealant,Generic,2090.0,D:\ai_warehouse\raw_images\shopify_store\generic\loctite_587_blue_rtv_silicone_gasket_maker_300_ml_high_performance_oil_resistant_sealant_rtv_silicone_gasket_maker_rs_2090.0.jpg
130,Loctite 577 Thread Sealant 50 ml – Medium Strength Sealant for Coarse Metal Threads,Generic,862.0,D:\ai_warehouse\raw_images\shopify_store\generic\loctite_577_thread_sealant_50_ml_medium_strength_sealant_for_coarse_metal_threads_thread_sealant_rs_862.0.jpg
131,Loctite 567 Thread Sealant 50 ml – High Temperature PST Sealant for Metal Pipe Fittings,Generic,972.0,D:\ai_warehouse\raw_images\shopify_store\generic\loctite_567_thread_sealant_50_ml_high_temperature_pst_sealant_for_metal_pipe_fittings_pst_thread_sealant_rs_972.0.jpg
132,Loctite 401 Instant Adhesive 20 g – Surface-Insensitive Fast Bonding Glue for Multiple Materials,Generic,495.0,D:\ai_warehouse\raw_images\shopify_store\generic\loctite_401_instant_adhesive_20_g_surface_insensitive_fast_bonding_glue_for_multiple_materials_surface_insensitive_instant_adhesive_rs_495.0.jpg
133,Loctite 406 Instant Adhesive 20 g – Low-Viscosity Fast-Bonding Glue for Rubber & Plastics,Generic,432.0,D:\ai_warehouse\raw_images\shopify_store\generic\loctite_406_instant_adhesive_20_g_low_viscosity_fast_bonding_glue_for_rubber_plastics_cyanoacrylate_rs_432.0.jpg
134,"Loctite 495 Instant Adhesive 20 g – Fast-Bonding Cyanoacrylate for Plastic, Metal & Rubber",Generic,435.0,D:\ai_warehouse\raw_images\shopify_store\generic\loctite_495_instant_adhesive_20_g_fast_bonding_cyanoacrylate_for_plastic_metal_rubber_instant_adhesive_rs_435.0.jpg
